Source,Target,link_type
32509,32559,influence
32509,32407,influence
32428,32406,influence
32428,32491,influence
32428,32408,influence
32428,32516,influence
32426,32535,influence
32426,32418,influence
32426,32396,influence
32476,32490,influence
32476,32457,influence
32539,32476,influence
32539,32507,influence
32539,32457,influence
32539,32514,influence
32539,32477,influence
32408,32413,influence
32408,32443,influence
32408,32405,influence
32408,32544,influence
32510,32490,influence
32520,32547,influence
32520,32561,influence
32533,32433,influence
32533,32498,influence
32533,32525,influence
32559,32488,influence
32540,32396,influence
32540,32485,influence
32540,32408,influence
32540,32529,influence
32442,32547,influence
32442,32540,influence
32455,32544,influence
32455,32405,influence
32455,32408,influence
32455,32413,influence
32556,32425,influence
32556,32443,influence
32556,32406,influence
32527,32420,influence
32464,32540,influence
32416,32433,influence
32416,32415,influence
32416,32496,influence
32416,32461,influence
32416,32563,influence
32416,32543,influence
32498,32488,influence
32498,32433,influence
32498,32533,influence
32460,32460,influence
32460,32458,influence
32467,32408,influence
32467,32413,influence
32467,32443,influence
32467,32405,influence
32467,32544,influence
32508,32396,influence
32508,32535,influence
32508,32478,influence
32508,32401,influence
32427,32507,influence
32447,32541,influence
32529,32443,influence
32529,32525,influence
32529,32466,influence
32529,32540,influence
32529,32507,influence
32529,32405,influence
32529,32399,influence
32529,32406,influence
32555,32540,influence
32471,32452,influence
32438,32547,influence
32475,32448,influence
32475,32420,influence
32394,32507,influence
32394,32431,influence
32478,32405,influence
32435,32408,influence
32435,32443,influence
32435,32525,influence
32435,32399,influence
32435,32485,influence
32411,32411,influence
32538,32422,influence
32538,32549,influence
32538,32529,influence
32519,32535,influence
32519,32396,influence
32519,32426,influence
32519,32401,influence
32519,32478,influence
32565,32443,influence
32565,32413,influence
32565,32406,influence
32565,32393,influence
32484,32540,influence
32484,32397,influence
32418,32396,influence
32418,32468,influence
32462,32513,influence
32462,32540,influence
32462,32517,influence
32462,32456,influence
32462,32535,influence
32456,32462,influence
32456,32513,influence
32551,32544,influence
32551,32507,influence
32551,32405,influence
32480,32405,influence
32480,32544,influence
32480,32413,influence
32413,32405,influence
32413,32544,influence
32413,32396,influence
32413,32507,influence
32413,32393,influence
32554,32422,influence
32554,32421,influence
32429,32475,influence
32402,32443,influence
32402,32413,influence
32507,32396,influence
32531,32562,feedback
32531,32460,feedback
32444,32448,feedback
32450,32450,feedback
32393,32544,feedback
32481,32482,feedback
32474,32408,feedback
32437,32420,feedback
32437,32540,feedback
32437,32523,feedback
32437,32397,feedback
32472,32484,feedback
32423,32488,feedback
32423,32407,feedback
32423,32434,feedback
32422,32546,feedback
32422,32432,feedback
32422,32522,feedback
32422,32554,feedback
32452,32484,feedback
32452,32472,feedback
32395,32494,feedback
32395,32475,feedback
32457,32476,feedback
32457,32490,feedback
32434,32394,feedback
32434,32427,feedback
32535,32508,feedback
32497,32412,feedback
32454,32495,feedback
32550,32440,feedback
32490,32448,feedback
32496,32416,feedback
32502,32434,feedback
32502,32460,feedback
32502,32488,feedback
32441,32489,feedback
32518,32491,feedback
32557,32444,feedback
32557,32483,feedback
32557,32526,feedback
32440,32549,feedback
32440,32409,feedback
32440,32540,feedback
32560,32483,feedback
32560,32484,feedback
32446,32420,feedback
32446,32540,feedback
32448,32516,feedback
32448,32446,feedback
32448,32473,feedback
32443,32518,feedback
32443,32491,feedback
32458,32460,feedback
32392,32532,feedback
32392,32554,feedback
32392,32542,feedback
32488,32423,feedback
32488,32543,feedback
32488,32502,feedback
32488,32460,feedback
32488,32407,feedback
32547,32459,feedback
32407,32392,feedback
32407,32542,feedback
32407,32559,feedback
32522,32422,feedback
32522,32421,feedback
32522,32432,feedback
32526,32557,feedback
32526,32444,feedback
32549,32551,feedback
32549,32554,feedback
32549,32464,feedback
32549,32502,feedback
32397,32420,feedback
32397,32540,feedback
32397,32475,feedback
32424,32394,feedback
32424,32451,feedback
32424,32434,feedback
32424,32486,feedback
32453,32563,feedback
32414,32540,feedback
32414,32532,feedback
32445,32498,feedback
32445,32487,feedback
32445,32404,feedback
32439,32503,feedback
32439,32457,feedback
32544,32405,feedback
32544,32468,feedback
32544,32485,feedback
32470,32477,feedback
32543,32510,feedback
32543,32490,feedback
